Lp		Start:		Czas:
0|103|65
1|293|52
2|131|25
3|129|324
4|226|53
5|55|252
6|73|131
7|272|202
8|335|129
9|279|147
10|225|254
11|15|178
12|62|313
13|392|132
14|270|313
15|373|13
16|207|237
17|271|228
18|20|205
19|125|154
20|145|386
21|367|98
22|156|215
23|396|36
24|258|9
25|18|376
26|24|125
27|364|391
28|153|40
29|309|356
30|348|225
31|97|244
32|271|336
33|44|120
34|359|66
35|223|278
36|80|354
37|200|51
38|256|157
39|228|71
40|383|1
41|290|175
42|339|394
43|193|312
44|381|106
45|322|248
46|31|384
47|325|42
48|184|3
49|56|160
50|360|156
51|243|165
52|213|247
53|137|81
54|57|66
55|232|96
56|174|91
57|311|364
58|256|260
59|227|176
60|200|145
61|141|132
62|215|247
63|120|113
64|195|145
65|306|23
66|363|39
67|282|83
68|208|173
69|17|154
70|340|62
71|312|19
72|104|5
73|326|244
74|319|11
75|31|115
76|142|254
77|287|324
78|377|80
79|18|173
80|121|75
81|173|307
82|194|30
83|241|93
84|73|44
85|110|126
86|316|179
87|263|95
88|135|368
89|185|89
90|365|231
91|170|361
92|254|338
93|393|31
94|346|370
95|316|19
96|70|153
97|70|175
98|274|294
99|95|53
100|265|185
101|180|231
102|27|160
103|238|207
104|324|223
105|328|287
106|168|84
107|142|384
108|208|229
109|138|397
110|289|177
111|244|279
112|4|192
113|383|101
114|4|99
115|57|227
116|73|111
117|86|6
118|141|354
119|106|131
120|200|125
121|168|56
122|340|349
123|249|131
124|313|212
125|264|146
126|189|135
127|241|303
128|365|85
129|129|98
130|86|3
131|275|23
132|239|364
133|355|9
134|278|166
135|327|165
136|293|351
137|168|174
138|384|134
139|351|200
140|196|180
141|176|194
142|397|276
143|308|131
144|328|101
145|30|91
146|394|263
147|287|181
148|261|286
149|34|203
