Lp		Start:		Czas:
0|368|76
1|142|344
2|282|365
3|46|285
4|23|100
5|7|349
6|41|263
7|132|325
8|376|77
9|342|342
10|48|88
11|100|232
12|290|218
13|272|265
14|23|157
15|73|107
16|316|43
17|88|340
18|307|145
19|384|27
20|243|139
21|297|192
22|305|6
23|152|102
24|298|184
25|110|17
26|376|168
27|86|126
28|239|70
29|242|154
30|368|263
31|335|213
32|350|249
33|65|316
34|232|272
35|50|397
36|224|270
37|259|99
38|360|170
39|90|348
40|30|50
41|322|202
42|94|17
43|169|252
44|7|96
45|129|374
46|186|121
47|45|112
48|260|124
49|102|152
50|173|205
51|180|232
52|385|319
53|304|128
54|102|167
55|22|289
56|106|214
57|57|323
58|259|398
59|253|121
60|179|177
61|356|239
62|5|261
63|85|362
64|279|110
65|164|113
66|8|262
67|202|269
68|354|5
69|265|194
70|112|341
71|216|279
72|282|337
73|329|369
74|193|330
75|347|58
76|270|129
77|56|201
78|267|137
79|294|343
80|223|369
81|22|166
82|208|284
83|308|37
84|32|14
85|77|200
86|173|354
87|207|295
88|141|234
89|231|124
90|327|136
91|98|79
92|188|199
93|151|169
94|9|51
95|78|45
96|334|274
97|388|273
98|315|306
99|171|284
